order_no,order_date,order_status,customer_type,customer_legacy_code
EB2B1000000000,2025-07-31,C,I,GC60307037
EB2B1000000001,2025-07-02,X,D,GC26411718
EB2B1000000002,2025-07-22,C,I,GC31869528
EB2B1000000003,2025-06-14,C,I,GC65900995
EB2B1000000004,2025-06-27,C,I,GC11896427
EB2B1000000005,2025-07-02,C,I,GC44770583
EB2B1000000006,2025-06-01,C,I,GC17996341
EB2B1000000007,2025-06-20,P,I,GC99559917
EB2B1000000008,2025-07-11,C,I,GC89665373
EB2B1000000009,2025-06-11,C,I,GC69054404
EB2B1000000010,2025-06-22,C,I,GC82120748
EB2B1000000011,2025-07-11,C,I,GC61007346
EB2B1000000012,2025-06-20,P,D,GC89427788
EB2B1000000013,2025-07-14,C,I,GC40301728
EB2B1000000014,2025-07-10,C,I,GC34731360
EB2B1000000015,2025-06-28,C,D,GC50000149
EB2B1000000016,2025-07-10,C,D,GC42723471
EB2B1000000017,2025-06-08,C,D,GC82475706
EB2B1000000018,2025-07-09,C,I,GC99360714
EB2B1000000019,2025-06-09,P,I,GC60704539
EB2B1000000020,2025-07-04,C,I,GC77571298
EB2B1000000021,2025-06-19,C,I,GC73678024
EB2B1000000022,2025-06-22,C,D,GC57238845
EB2B1000000023,2025-07-17,C,I,GC21689007
EB2B1000000024,2025-06-24,P,I,GC28805567
EB2B1000000025,2025-07-22,C,I,GC21768256
EB2B1000000026,2025-07-15,C,I,GC55231541
EB2B1000000027,2025-07-26,C,I,GC89723307
EB2B1000000028,2025-06-09,C,D,GC89890370
EB2B1000000029,2025-06-24,P,I,GC21970652
EB2B1000000030,2025-07-07,C,D,GC14698329
EB2B1000000031,2025-07-01,X,D,GC30922844
EB2B1000000032,2025-06-05,C,D,GC11435415
EB2B1000000033,2025-06-02,C,D,GC71179282
EB2B1000000034,2025-06-29,X,D,GC21543189
EB2B1000000035,2025-06-24,C,D,GC13102778
EB2B1000000036,2025-06-27,C,I,GC91358784
EB2B1000000037,2025-06-16,C,I,GC46366259
EB2B1000000038,2025-06-14,C,I,GC23796681
EB2B1000000039,2025-07-31,X,I,GC51818682
EB2B1000000040,2025-06-21,X,I,GC36551621
EB2B1000000041,2025-07-15,P,I,GC91212170
EB2B1000000042,2025-06-15,P,I,GC74222305
EB2B1000000043,2025-07-29,C,D,GC36268513
EB2B1000000044,2025-07-26,C,I,GC36119029
EB2B1000000045,2025-07-28,C,I,GC76425800
EB2B1000000046,2025-06-21,C,I,GC20471228
EB2B1000000047,2025-07-11,C,I,GC41278022
EB2B1000000048,2025-07-29,P,I,GC38520176
EB2B1000000049,2025-07-28,X,D,GC62527771
EB2B1000000050,2025-07-01,C,I,GC10416997
EB2B1000000051,2025-07-21,C,D,GC61005009
EB2B1000000052,2025-06-18,C,I,GC36764323
EB2B1000000053,2025-07-06,C,I,GC92760305
EB2B1000000054,2025-06-22,C,D,GC23746292
EB2B1000000055,2025-07-07,C,D,GC86383608
EB2B1000000056,2025-07-21,P,I,GC32378699
EB2B1000000057,2025-06-22,C,I,GC28540857
EB2B1000000058,2025-07-15,C,I,GC90772485
EB2B1000000059,2025-06-13,C,I,GC33283960
EB2B1000000060,2025-07-28,C,I,GC69014061
EB2B1000000061,2025-06-09,C,D,GC27688813
EB2B1000000062,2025-06-21,P,I,GC71833270
EB2B1000000063,2025-07-21,X,I,GC88726945
EB2B1000000064,2025-07-11,C,I,GC53751263
EB2B1000000065,2025-07-07,P,I,GC51256515
EB2B1000000066,2025-07-29,C,I,GC60715072
EB2B1000000067,2025-06-15,X,I,GC58190104
EB2B1000000068,2025-07-16,C,I,GC11190605
EB2B1000000069,2025-07-08,C,I,GC73270284
EB2B1000000070,2025-07-10,C,D,GC27933045
EB2B1000000071,2025-06-16,P,I,GC15746469
EB2B1000000072,2025-07-23,C,I,GC43421297
EB2B1000000073,2025-07-23,C,I,GC62353371
EB2B1000000074,2025-06-16,C,D,GC28850509
EB2B1000000075,2025-07-02,C,I,GC90145249
EB2B1000000076,2025-07-07,C,D,GC77714140
EB2B1000000077,2025-07-01,C,I,GC25799382
EB2B1000000078,2025-07-27,C,I,GC99436783
EB2B1000000079,2025-06-02,C,I,GC24260594
EB2B1000000080,2025-06-21,C,I,GC84095884
EB2B1000000081,2025-07-03,C,I,GC49030787
EB2B1000000082,2025-07-27,C,D,GC55080697
EB2B1000000083,2025-06-07,C,D,GC26418573
EB2B1000000084,2025-06-25,C,I,GC94122098
EB2B1000000085,2025-07-19,C,I,GC43824487
EB2B1000000086,2025-06-10,C,I,GC11361006
EB2B1000000087,2025-07-10,C,I,GC87099818
EB2B1000000088,2025-06-21,C,I,GC30428651
EB2B1000000089,2025-06-06,C,D,GC92128314
EB2B1000000090,2025-07-04,C,I,GC32588172
EB2B1000000091,2025-07-02,C,D,GC92714079
EB2B1000000092,2025-06-30,C,I,GC57900342
EB2B1000000093,2025-07-09,C,I,GC84420438
EB2B1000000094,2025-07-28,C,I,GC12424794
EB2B1000000095,2025-07-28,C,I,GC73115555
EB2B1000000096,2025-07-31,P,D,GC43826068
EB2B1000000097,2025-07-17,C,D,GC64922351
EB2B1000000098,2025-06-18,C,D,GC86056500
EB2B1000000099,2025-06-05,C,I,GC97891427
EB2B1000000100,2025-06-29,C,I,GC70631785
EB2B1000000101,2025-06-25,C,I,GC94602558
EB2B1000000102,2025-07-20,C,I,GC86134053
EB2B1000000103,2025-06-13,C,I,GC32517176
EB2B1000000104,2025-07-21,P,I,GC87210585
EB2B1000000105,2025-07-20,C,I,GC55051587
EB2B1000000106,2025-06-18,C,D,GC99318726
EB2B1000000107,2025-07-16,C,I,GC31136969
EB2B1000000108,2025-06-10,C,D,GC45135941
EB2B1000000109,2025-06-24,C,D,GC59700276
EB2B1000000110,2025-07-25,C,I,GC45164329
EB2B1000000111,2025-07-20,C,D,GC78929583
EB2B1000000112,2025-06-04,C,I,GC73791651
EB2B1000000113,2025-07-01,C,I,GC26244964
EB2B1000000114,2025-06-16,C,I,GC89426243
EB2B1000000115,2025-06-15,C,I,GC55335089
EB2B1000000116,2025-07-11,X,I,GC16481098
EB2B1000000117,2025-06-01,P,I,GC26123105
EB2B1000000118,2025-06-21,C,I,GC48040286
EB2B1000000119,2025-06-23,C,I,GC67810328
EB2B1000000120,2025-07-23,C,D,GC20440451
EB2B1000000121,2025-07-10,C,I,GC90908131
EB2B1000000122,2025-07-01,C,I,GC64864887
EB2B1000000123,2025-07-06,C,I,GC94320873
EB2B1000000124,2025-06-10,C,I,GC82149862
EB2B1000000125,2025-07-21,C,I,GC12332623
EB2B1000000126,2025-06-18,C,D,GC94328498
EB2B1000000127,2025-06-21,C,I,GC46971545
EB2B1000000128,2025-07-02,C,I,GC44765857
EB2B1000000129,2025-06-21,C,I,GC68904348
EB2B1000000130,2025-07-09,C,D,GC45675021
EB2B1000000131,2025-07-27,C,I,GC84108442
EB2B1000000132,2025-07-05,C,I,GC60403103
EB2B1000000133,2025-06-13,P,I,GC34383847
EB2B1000000134,2025-07-23,C,I,GC75965276
EB2B1000000135,2025-07-22,C,I,GC99745791
EB2B1000000136,2025-07-12,C,I,GC56748995
EB2B1000000137,2025-06-13,P,D,GC18852915
EB2B1000000138,2025-07-30,C,I,GC93922374
EB2B1000000139,2025-07-09,C,I,GC58093085
EB2B1000000140,2025-07-09,C,I,GC61804106
EB2B1000000141,2025-06-08,X,D,GC60684499
EB2B1000000142,2025-06-19,C,I,GC57380159
EB2B1000000143,2025-07-17,C,I,GC50199242
EB2B1000000144,2025-06-04,C,D,GC60461294
EB2B1000000145,2025-07-18,C,I,GC45534249
EB2B1000000146,2025-07-27,C,D,GC83829193
EB2B1000000147,2025-06-13,C,I,GC48656152
EB2B1000000148,2025-07-04,C,I,GC49479427
EB2B1000000149,2025-07-22,C,I,GC96493863
EB2B1000000150,2025-07-03,C,I,GC88813775
EB2B1000000151,2025-06-19,C,D,GC85237007
EB2B1000000152,2025-06-16,C,I,GC50635970
EB2B1000000153,2025-07-21,C,D,GC88809974
EB2B1000000154,2025-06-25,C,I,GC15809144
EB2B1000000155,2025-06-28,C,I,GC82428426
EB2B1000000156,2025-07-15,C,I,GC57216333
EB2B1000000157,2025-07-23,X,I,GC62137114
EB2B1000000158,2025-07-25,P,I,GC24474127
EB2B1000000159,2025-06-01,C,I,GC45506648
EB2B1000000160,2025-06-20,C,I,GC21246035
EB2B1000000161,2025-06-17,P,I,GC79108317
EB2B1000000162,2025-06-14,C,I,GC38164181
EB2B1000000163,2025-06-10,C,I,GC77418191
EB2B1000000164,2025-06-19,C,I,GC52103461
EB2B1000000165,2025-06-02,C,I,GC54049408
EB2B1000000166,2025-06-02,P,I,GC48715788
EB2B1000000167,2025-07-12,P,I,GC19991216
EB2B1000000168,2025-07-12,C,I,GC28111796
EB2B1000000169,2025-07-19,C,I,GC64212251
EB2B1000000170,2025-06-27,C,I,GC95825759
EB2B1000000171,2025-06-06,C,I,GC26424667
EB2B1000000172,2025-06-24,C,D,GC51037113
EB2B1000000173,2025-06-30,X,D,GC28478117
EB2B1000000174,2025-07-20,C,I,GC25781760
EB2B1000000175,2025-07-29,C,I,GC94919350
EB2B1000000176,2025-06-10,C,I,GC52139163
EB2B1000000177,2025-06-29,X,I,GC22178177
EB2B1000000178,2025-07-11,C,I,GC69335049
EB2B1000000179,2025-06-25,C,I,GC13404379
EB2B1000000180,2025-07-06,C,I,GC30744991
EB2B1000000181,2025-06-11,C,I,GC92691963
EB2B1000000182,2025-07-09,C,D,GC20929927
EB2B1000000183,2025-06-29,P,I,GC49580182
EB2B1000000184,2025-07-19,C,I,GC61157834
EB2B1000000185,2025-06-21,C,D,GC50486214
EB2B1000000186,2025-06-07,P,I,GC53159218
EB2B1000000187,2025-07-30,C,I,GC96046825
EB2B1000000188,2025-06-18,C,I,GC38540398
EB2B1000000189,2025-06-30,C,I,GC74450415
EB2B1000000190,2025-06-18,X,D,GC93525402
EB2B1000000191,2025-06-13,C,D,GC90470126
EB2B1000000192,2025-07-16,C,D,GC99040902
EB2B1000000193,2025-07-09,C,I,GC17453784
EB2B1000000194,2025-06-30,C,D,GC70381095
EB2B1000000195,2025-06-19,C,I,GC42873271
EB2B1000000196,2025-06-11,C,I,GC21382241
EB2B1000000197,2025-07-08,C,I,GC26411718
EB2B1000000198,2025-06-09,C,I,GC19180999
EB2B1000000199,2025-06-21,P,I,GC18830219
EB2B1000000200,2025-06-02,P,D,GC65800998
EB2B1000000201,2025-06-08,C,I,GC36017047
EB2B1000000202,2025-06-04,C,I,GC96207066
EB2B1000000203,2025-07-26,C,I,GC67138006
EB2B1000000204,2025-06-21,P,D,GC37023185
EB2B1000000205,2025-07-06,C,D,GC11233262
EB2B1000000206,2025-07-01,P,I,GC43252079
EB2B1000000207,2025-06-24,C,I,GC89574873
EB2B1000000208,2025-06-10,C,I,GC42026271
EB2B1000000209,2025-06-21,C,I,GC30495346
EB2B1000000210,2025-07-24,C,I,GC97758252
EB2B1000000211,2025-07-17,C,I,GC11077619
EB2B1000000212,2025-06-25,C,I,GC19466596
EB2B1000000213,2025-07-06,C,I,GC51678306
EB2B1000000214,2025-06-02,C,I,GC56821190
EB2B1000000215,2025-07-11,C,I,GC84057077
EB2B1000000216,2025-06-28,C,I,GC33532534
EB2B1000000217,2025-07-12,C,D,GC68230817
EB2B1000000218,2025-06-21,P,D,GC35834405
EB2B1000000219,2025-06-26,C,I,GC83112925
EB2B1000000220,2025-06-12,C,I,GC74250209
EB2B1000000221,2025-06-21,C,I,GC81458898
EB2B1000000222,2025-07-10,C,I,GC61959009
EB2B1000000223,2025-07-24,C,I,GC88786294
EB2B1000000224,2025-07-19,P,I,GC47801233
EB2B1000000225,2025-06-03,C,I,GC36345208
EB2B1000000226,2025-07-12,C,I,GC70381095
EB2B1000000227,2025-06-19,C,D,GC20805307
EB2B1000000228,2025-06-21,C,I,GC59650807
EB2B1000000229,2025-07-07,P,I,GC53169737
EB2B1000000230,2025-07-19,C,D,GC23128198
EB2B1000000231,2025-07-07,C,I,GC40230610
EB2B1000000232,2025-06-03,C,I,GC66597298
EB2B1000000233,2025-07-27,C,I,GC31198772
EB2B1000000234,2025-07-03,C,D,GC64464528
EB2B1000000235,2025-06-04,C,I,GC86904329
EB2B1000000236,2025-07-17,C,D,GC40143583
EB2B1000000237,2025-07-16,C,D,GC56438200
EB2B1000000238,2025-07-16,P,D,GC76384860
EB2B1000000239,2025-06-09,C,I,GC64866540
EB2B1000000240,2025-07-02,C,I,GC46383465
EB2B1000000241,2025-06-05,C,D,GC45026810
EB2B1000000242,2025-07-30,C,I,GC78690958
EB2B1000000243,2025-06-05,C,I,GC88538733
EB2B1000000244,2025-06-09,C,I,GC41741300
EB2B1000000245,2025-06-10,P,D,GC54363421
EB2B1000000246,2025-06-07,P,I,GC31311258
EB2B1000000247,2025-07-04,P,I,GC94498056
EB2B1000000248,2025-06-11,C,I,GC34595062
EB2B1000000249,2025-07-31,C,D,GC36826266
EB2B1000000250,2025-07-16,X,I,GC72617503
EB2B1000000251,2025-06-16,C,D,GC72604450
EB2B1000000252,2025-06-06,C,I,GC83937567
EB2B1000000253,2025-07-19,C,I,GC46387450
EB2B1000000254,2025-06-24,C,I,GC31478506
EB2B1000000255,2025-06-23,C,D,GC44029139
EB2B1000000256,2025-06-22,P,I,GC95200126
EB2B1000000257,2025-06-06,C,I,GC21219432
EB2B1000000258,2025-06-27,C,I,GC73530347
EB2B1000000259,2025-06-22,C,I,GC29682531
EB2B1000000260,2025-07-19,C,I,GC82446342
EB2B1000000261,2025-06-05,C,I,GC32341731
EB2B1000000262,2025-07-02,C,I,GC90154282
EB2B1000000263,2025-06-26,C,D,GC98131849
EB2B1000000264,2025-07-05,C,I,GC52758855
EB2B1000000265,2025-06-04,C,I,GC86854640
EB2B1000000266,2025-07-04,C,D,GC41561623
EB2B1000000267,2025-06-27,C,D,GC53980546
EB2B1000000268,2025-07-12,C,I,GC53008309
EB2B1000000269,2025-07-21,C,I,GC17098551
EB2B1000000270,2025-06-26,C,I,GC96277647
EB2B1000000271,2025-07-15,C,I,GC89574873
EB2B1000000272,2025-06-10,C,D,GC58147073
EB2B1000000273,2025-07-06,C,I,GC36826266
EB2B1000000274,2025-07-23,C,I,GC90128181
EB2B1000000275,2025-06-06,C,D,GC58712990
EB2B1000000276,2025-07-23,C,D,GC84046990
EB2B1000000277,2025-06-14,P,I,GC40095669
EB2B1000000278,2025-06-29,C,I,GC33214233
EB2B1000000279,2025-06-11,C,I,GC77959068
EB2B1000000280,2025-06-08,C,I,GC12368781
EB2B1000000281,2025-07-19,C,I,GC94191586
EB2B1000000282,2025-07-29,C,I,GC57338677
EB2B1000000283,2025-07-26,C,I,GC52181984
EB2B1000000284,2025-06-17,C,I,GC65071708
EB2B1000000285,2025-06-15,C,I,GC68035365
EB2B1000000286,2025-06-16,C,I,GC23474864
EB2B1000000287,2025-06-04,C,I,GC60104178
EB2B1000000288,2025-07-12,C,I,GC26244964
EB2B1000000289,2025-07-14,C,D,GC78105370
EB2B1000000290,2025-07-06,C,D,GC48546517
EB2B1000000291,2025-06-02,C,D,GC98665957
EB2B1000000292,2025-06-04,C,D,GC13743496
EB2B1000000293,2025-07-12,C,I,GC94486312
EB2B1000000294,2025-07-24,C,D,GC15356154
EB2B1000000295,2025-07-15,C,I,GC44517819
EB2B1000000296,2025-06-15,C,I,GC61544630
EB2B1000000297,2025-07-01,P,I,GC25188619
EB2B1000000298,2025-06-03,P,I,GC96114007
EB2B1000000299,2025-06-03,P,D,GC25406645
EB2B1000000300,2025-06-15,C,I,GC88930879
EB2B1000000301,2025-07-19,X,D,GC89597592
EB2B1000000302,2025-06-15,C,D,GC24768716
EB2B1000000303,2025-07-31,C,I,GC43018516
EB2B1000000304,2025-06-10,X,D,GC43557176
EB2B1000000305,2025-07-26,P,D,GC15211257
EB2B1000000306,2025-06-09,C,D,GC40143583
EB2B1000000307,2025-07-03,P,I,GC23530374
EB2B1000000308,2025-06-21,C,I,GC21327835
EB2B1000000309,2025-06-21,C,D,GC47756962
EB2B1000000310,2025-06-25,C,I,GC91359046
EB2B1000000311,2025-07-19,X,D,GC31554308
EB2B1000000312,2025-07-11,C,I,GC90440472
EB2B1000000313,2025-07-13,P,I,GC42930552
EB2B1000000314,2025-06-26,C,D,GC58701586
EB2B1000000315,2025-06-02,C,I,GC19470140
EB2B1000000316,2025-07-03,C,I,GC67529530
EB2B1000000317,2025-07-19,C,D,GC66607262
EB2B1000000318,2025-06-19,C,I,GC99595102
EB2B1000000319,2025-07-02,C,D,GC38686961
EB2B1000000320,2025-06-02,C,I,GC61023340
EB2B1000000321,2025-07-13,C,I,GC22657432
EB2B1000000322,2025-07-16,C,I,GC53571443
EB2B1000000323,2025-07-15,C,I,GC74103912
EB2B1000000324,2025-06-27,C,I,GC11833626
EB2B1000000325,2025-07-06,C,I,GC36837617
EB2B1000000326,2025-06-05,P,D,GC37031585
EB2B1000000327,2025-06-03,P,I,GC82527114
EB2B1000000328,2025-06-13,C,I,GC85237007
EB2B1000000329,2025-07-08,C,D,GC42633405
EB2B1000000330,2025-06-03,C,I,GC63974248
EB2B1000000331,2025-06-14,C,I,GC91453658
EB2B1000000332,2025-06-15,C,I,GC99287389
EB2B1000000333,2025-07-08,C,I,GC89426041
EB2B1000000334,2025-07-02,C,I,GC37348550
EB2B1000000335,2025-06-01,C,I,GC59066128
EB2B1000000336,2025-06-23,C,D,GC54494335
EB2B1000000337,2025-07-15,P,I,GC24657945
EB2B1000000338,2025-06-06,C,D,GC99047650
EB2B1000000339,2025-07-08,C,I,GC38686961
EB2B1000000340,2025-07-27,C,I,GC61079694
EB2B1000000341,2025-06-24,C,I,GC17258943
EB2B1000000342,2025-07-03,C,D,GC55347939
EB2B1000000343,2025-07-28,C,I,GC27162621
EB2B1000000344,2025-07-24,C,I,GC25513314
EB2B1000000345,2025-06-11,C,D,GC57068114
EB2B1000000346,2025-06-26,C,D,GC38351125
EB2B1000000347,2025-06-14,C,I,GC26576358
EB2B1000000348,2025-06-10,C,I,GC54363421
EB2B1000000349,2025-07-05,C,I,GC27162621
EB2B1000000350,2025-06-01,C,I,GC56488499
EB2B1000000351,2025-07-29,C,D,GC96277647
EB2B1000000352,2025-07-11,C,D,GC33607235
EB2B1000000353,2025-07-18,C,I,GC82133102
EB2B1000000354,2025-07-10,X,I,GC28679934
EB2B1000000355,2025-06-19,C,I,GC41124196
EB2B1000000356,2025-06-18,P,I,GC38597227
EB2B1000000357,2025-07-06,C,I,GC40578076
EB2B1000000358,2025-06-24,C,I,GC23862962
EB2B1000000359,2025-07-03,X,I,GC52757412
EB2B1000000360,2025-06-25,C,I,GC30869686
EB2B1000000361,2025-06-11,C,I,GC11946674
EB2B1000000362,2025-07-24,C,I,GC77587480
EB2B1000000363,2025-06-13,X,I,GC61706059
EB2B1000000364,2025-07-19,C,I,GC62353371
EB2B1000000365,2025-07-09,C,D,GC85300576
EB2B1000000366,2025-06-17,C,I,GC47095573
EB2B1000000367,2025-06-22,P,I,GC24384568
EB2B1000000368,2025-06-13,C,D,GC38153923
EB2B1000000369,2025-06-21,P,I,GC67162555
EB2B1000000370,2025-07-28,P,D,GC79651618
EB2B1000000371,2025-06-17,C,D,GC35482265
EB2B1000000372,2025-06-26,C,D,GC48530763
EB2B1000000373,2025-06-08,C,I,GC65751363
EB2B1000000374,2025-07-12,C,D,GC41531482
EB2B1000000375,2025-06-19,C,I,GC96848857
EB2B1000000376,2025-06-29,C,I,GC40149786
EB2B1000000377,2025-06-02,C,I,GC71174364
EB2B1000000378,2025-06-29,X,I,GC66474093
EB2B1000000379,2025-07-09,C,I,GC79547700
EB2B1000000380,2025-07-12,C,I,GC75315141
EB2B1000000381,2025-07-13,C,D,GC86242300
EB2B1000000382,2025-07-03,C,D,GC36119029
EB2B1000000383,2025-07-20,C,I,GC23572461
EB2B1000000384,2025-06-26,C,I,GC68719406
EB2B1000000385,2025-06-14,C,I,GC81273301
EB2B1000000386,2025-06-12,C,D,GC29160749
EB2B1000000387,2025-06-08,C,I,GC57417986
EB2B1000000388,2025-06-03,C,I,GC13817499
EB2B1000000389,2025-06-25,C,D,GC52571763
EB2B1000000390,2025-07-22,P,I,GC28491234
EB2B1000000391,2025-06-07,C,I,GC64309470
EB2B1000000392,2025-07-18,C,D,GC92947099
EB2B1000000393,2025-07-30,C,I,GC61628627
EB2B1000000394,2025-07-26,C,I,GC11666763
EB2B1000000395,2025-06-14,C,I,GC18434795
EB2B1000000396,2025-06-13,C,D,GC10933716
EB2B1000000397,2025-07-19,P,D,GC71895093
EB2B1000000398,2025-07-07,C,I,GC61364639
EB2B1000000399,2025-07-18,C,D,GC96526415
EB2B1000000400,2025-07-18,C,I,GC65640853
EB2B1000000401,2025-06-20,C,D,GC65003534
EB2B1000000402,2025-07-24,P,D,GC79021601
EB2B1000000403,2025-07-15,C,D,GC16108500
EB2B1000000404,2025-07-14,P,I,GC13105571
EB2B1000000405,2025-06-14,C,I,GC45374067
EB2B1000000406,2025-07-27,P,I,GC52591907
EB2B1000000407,2025-07-08,C,I,GC71408972
EB2B1000000408,2025-07-23,C,D,GC45606090
EB2B1000000409,2025-06-20,P,I,GC91877039
EB2B1000000410,2025-06-24,C,I,GC36015276
EB2B1000000411,2025-06-30,C,I,GC94338531
EB2B1000000412,2025-06-04,C,I,GC96083599
EB2B1000000413,2025-07-12,C,I,GC43199341
EB2B1000000414,2025-07-11,C,D,GC42456869
EB2B1000000415,2025-06-15,P,I,GC29031501
EB2B1000000416,2025-07-07,C,I,GC53872387
EB2B1000000417,2025-07-27,P,D,GC22185758
EB2B1000000418,2025-07-27,P,I,GC81472067
EB2B1000000419,2025-07-24,C,D,GC95390990
EB2B1000000420,2025-06-17,P,I,GC42943913
EB2B1000000421,2025-06-14,C,I,GC23530374
EB2B1000000422,2025-07-03,C,I,GC86576546
EB2B1000000423,2025-06-02,C,I,GC10232048
EB2B1000000424,2025-06-20,C,I,GC30049971
EB2B1000000425,2025-06-01,C,I,GC53274663
EB2B1000000426,2025-06-14,C,I,GC46137598
EB2B1000000427,2025-07-24,C,I,GC71024383
EB2B1000000428,2025-06-12,C,I,GC75647021
EB2B1000000429,2025-07-26,X,D,GC28241849
EB2B1000000430,2025-06-22,C,I,GC43522920
EB2B1000000431,2025-06-14,C,I,GC15516345
EB2B1000000432,2025-07-02,C,I,GC32717117
EB2B1000000433,2025-07-31,C,I,GC54759391
EB2B1000000434,2025-07-17,C,D,GC84715577
EB2B1000000435,2025-06-25,C,I,GC23555369
EB2B1000000436,2025-07-17,X,I,GC51489399
EB2B1000000437,2025-06-21,C,I,GC67600736
EB2B1000000438,2025-06-30,C,I,GC23672496
EB2B1000000439,2025-06-26,C,D,GC35883252
EB2B1000000440,2025-07-09,P,I,GC96591866
EB2B1000000441,2025-07-19,C,D,GC18779551
EB2B1000000442,2025-06-11,C,I,GC14789956
EB2B1000000443,2025-07-29,C,I,GC47775463
EB2B1000000444,2025-07-02,C,D,GC59125302
EB2B1000000445,2025-07-01,C,I,GC21152602
EB2B1000000446,2025-07-06,C,I,GC87037211
EB2B1000000447,2025-07-09,C,I,GC62409851
EB2B1000000448,2025-06-19,C,I,GC86092056
EB2B1000000449,2025-07-21,C,I,GC94014298
EB2B1000000450,2025-07-13,P,I,GC53325492
EB2B1000000451,2025-07-25,C,D,GC82123324
EB2B1000000452,2025-07-31,C,D,GC73928214
EB2B1000000453,2025-06-16,X,D,GC10328387
EB2B1000000454,2025-06-05,P,I,GC21868737
EB2B1000000455,2025-07-10,X,I,GC75741381
EB2B1000000456,2025-06-07,C,D,GC71771451
EB2B1000000457,2025-07-27,C,D,GC76428236
EB2B1000000458,2025-06-01,P,I,GC66946385
EB2B1000000459,2025-07-25,C,I,GC97298206
EB2B1000000460,2025-06-02,C,I,GC80767956
EB2B1000000461,2025-07-10,C,I,GC12673605
EB2B1000000462,2025-06-04,C,I,GC53385340
EB2B1000000463,2025-07-25,C,I,GC40541809
EB2B1000000464,2025-06-01,C,I,GC91926643
EB2B1000000465,2025-07-31,C,I,GC33519462
EB2B1000000466,2025-06-18,C,I,GC89045858
EB2B1000000467,2025-07-30,C,I,GC50888220
EB2B1000000468,2025-06-01,C,D,GC17309497
EB2B1000000469,2025-06-20,X,I,GC28793298
EB2B1000000470,2025-06-29,X,D,GC88809362
EB2B1000000471,2025-06-25,C,I,GC24681540
EB2B1000000472,2025-07-17,P,D,GC15138040
EB2B1000000473,2025-07-07,C,D,GC26192377
EB2B1000000474,2025-06-11,C,D,GC56150415
EB2B1000000475,2025-06-07,C,D,GC36806068
EB2B1000000476,2025-06-04,P,I,GC34915916
EB2B1000000477,2025-06-24,C,D,GC38644859
EB2B1000000478,2025-06-14,C,I,GC90364540
EB2B1000000479,2025-07-12,C,D,GC50658510
EB2B1000000480,2025-06-13,C,I,GC99601933
EB2B1000000481,2025-06-28,C,I,GC43635732
EB2B1000000482,2025-07-18,C,I,GC11595945
