customer_code,customer_legacy_code,cust_direct,business_type,business_type_description,state,region,city,channel,sales_rep_id,outlet_creation_date
5686579303,GC89426041,Indirect,13,Rural,Tamil Nadu,South,Mumbai,eCom,SR391,2022-07-16
5119540831,GC30285078,Indirect,27,Rural,Maharashtra,West,Bangalore,GT,SR837,2022-09-06
5026855092,GC98470372,Indirect,14,Rural,Delhi,North,Kolkata,MT,SR890,2022-03-31
5796233790,GC69948773,Indirect,25,Modern Trade,Karnataka,South,Kolkata,eCom,SR242,2023-12-12
5295310485,GC59629263,Direct,23,Rural,West Bengal,East,Delhi,GT,SR976,2023-09-24
5262950628,GC33541704,Direct,28,Modern Trade,Maharashtra,West,Delhi,eCom,SR659,2023-07-16
5239670711,GC45064728,Direct,23,Modern Trade,Delhi,North,Kolkata,eCom,SR614,2022-09-15
5149827706,GC41701674,Indirect,18,Retailer,Karnataka,South,Mumbai,eCom,SR447,2023-08-29
5790779946,GC75084661,Indirect,15,Wholesaler,Maharashtra,West,Bangalore,GT,SR516,2022-09-10
5110053353,GC34267798,Indirect,26,Modern Trade,Tamil Nadu,South,Mumbai,eCom,SR670,2023-09-04
5726600539,GC80784933,Direct,28,Online,Maharashtra,West,Bangalore,MT,SR261,2022-06-23
5795285932,GC14441335,Indirect,21,Modern Trade,Karnataka,South,Bangalore,GT,SR923,2023-07-20
5957970516,GC56016278,Indirect,13,Online,Maharashtra,West,Bangalore,GT,SR199,2023-12-06
5585582861,GC21328172,Direct,25,Retailer,Delhi,North,Bangalore,GT,SR561,2023-07-19
5093349856,GC29470999,Direct,20,Online,West Bengal,East,Chennai,eCom,SR381,2023-11-30
5634036506,GC89932574,Direct,13,Retailer,West Bengal,East,Kolkata,GT,SR127,2023-10-10
5453035110,GC30689702,Indirect,26,Retailer,Karnataka,South,Bangalore,GT,SR272,2023-09-22
5034126396,GC76565050,Indirect,17,Retailer,West Bengal,East,Bangalore,GT,SR231,2023-01-29
5031994523,GC65424925,Indirect,23,Online,Maharashtra,West,Delhi,MT,SR522,2024-01-10
5100604502,GC61427803,Direct,11,Online,Tamil Nadu,South,Kolkata,MT,SR156,2022-01-11
5234760738,GC41936764,Indirect,20,Retailer,Tamil Nadu,South,Chennai,GT,SR930,2023-03-19
5249817734,GC98673262,Direct,20,Retailer,Tamil Nadu,South,Kolkata,GT,SR501,2023-01-28
5542621108,GC69080631,Direct,15,Wholesaler,West Bengal,East,Bangalore,GT,SR789,2024-06-01
